Islas;Nivel educativo;Sexo;Ocupación;Nacionalidad;Periodo;Total
Formentera;Total;Mujeres;3 Técnicos, profesionales de apoyo;Total;2021;162
Formentera;Total;Mujeres;3 Técnicos, profesionales de apoyo;Española;2022;137
Formentera;Total;Mujeres;3 Técnicos, profesionales de apoyo;Española;2021;140
Formentera;Total;Mujeres;3 Técnicos, profesionales de apoyo;Extranjera;2022;26
Formentera;Total;Mujeres;3 Técnicos, profesionales de apoyo;Extranjera;2021;22
Formentera;Total;Mujeres;4 Empleados contables, administrativos y otros empleados de oficina;Total;2022;256
Formentera;Total;Mujeres;4 Empleados contables, administrativos y otros empleados de oficina;Total;2021;253
Formentera;Total;Mujeres;4 Empleados contables, administrativos y otros empleados de oficina;Española;2022;218
Formentera;Total;Mujeres;4 Empleados contables, administrativos y otros empleados de oficina;Española;2021;228
Formentera;Total;Mujeres;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2022;38
Formentera;Total;Mujeres;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2021;25
Formentera;Total;Mujeres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2022;589
Formentera;Total;Mujeres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2021;589
Formentera;Total;Mujeres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2022;462
Formentera;Total;Mujeres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2021;469
Formentera;Total;Mujeres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2022;127
Formentera;Total;Mujeres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2021;120
Formentera;Total;Mujeres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2022;8
Formentera;Total;Mujeres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2021;8
Formentera;Total;Mujeres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2022;6
Formentera;Total;Mujeres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2021;6
Formentera;Total;Mujeres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2022;2
Formentera;Total;Mujeres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2021;2
Formentera;Total;Mujeres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Total;2022;46
Formentera;Total;Mujeres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Total;2021;49
Formentera;Total;Mujeres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Española;2022;39
Formentera;Total;Mujeres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Española;2021;43
Formentera;Total;Mujeres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Extranjera;2022;7
Formentera;Total;Mujeres;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Extranjera;2021;6
Formentera;Total;Mujeres;8 Operadores de instalaciones y maquinaria, y montadores;Total;2022;25
Formentera;Total;Mujeres;8 Operadores de instalaciones y maquinaria, y montadores;Total;2021;24
Formentera;Total;Mujeres;8 Operadores de instalaciones y maquinaria, y montadores;Española;2022;23
Formentera;Total;Mujeres;8 Operadores de instalaciones y maquinaria, y montadores;Española;2021;22
Formentera;Total;Mujeres;8 Operadores de instalaciones y maquinaria, y montadores;Extranjera;2022;2
Formentera;Total;Mujeres;8 Operadores de instalaciones y maquinaria, y montadores;Extranjera;2021;2
Formentera;Total;Mujeres;9 Ocupaciones elementales;Total;2022;161
Formentera;Total;Mujeres;9 Ocupaciones elementales;Total;2021;172
Formentera;Total;Mujeres;9 Ocupaciones elementales;Española;2022;82
Formentera;Total;Mujeres;9 Ocupaciones elementales;Española;2021;99
Formentera;Total;Mujeres;9 Ocupaciones elementales;Extranjera;2022;79
Formentera;Total;Mujeres;9 Ocupaciones elementales;Extranjera;2021;73
Formentera;Total;Mujeres;No consta;Total;2022;88
Formentera;Total;Mujeres;No consta;Total;2021;55
Formentera;Total;Mujeres;No consta;Española;2022;72
Formentera;Total;Mujeres;No consta;Española;2021;49
Formentera;Total;Mujeres;No consta;Extranjera;2022;16
Formentera;Total;Mujeres;No consta;Extranjera;2021;6
Formentera;Educación primaria e inferior;Total;Total;Total;2022;294
Formentera;Educación primaria e inferior;Total;Total;Total;2021;306
Formentera;Educación primaria e inferior;Total;Total;Española;2022;131
Formentera;Educación primaria e inferior;Total;Total;Española;2021;142
Formentera;Educación primaria e inferior;Total;Total;Extranjera;2022;163
Formentera;Educación primaria e inferior;Total;Total;Extranjera;2021;164
Formentera;Educación primaria e inferior;Total;1 Directores y gerentes;Total;2022;22
Formentera;Educación primaria e inferior;Total;1 Directores y gerentes;Total;2021;27
Formentera;Educación primaria e inferior;Total;1 Directores y gerentes;Española;2022;19
Formentera;Educación primaria e inferior;Total;1 Directores y gerentes;Española;2021;24
Formentera;Educación primaria e inferior;Total;1 Directores y gerentes;Extranjera;2022;3
Formentera;Educación primaria e inferior;Total;1 Directores y gerentes;Extranjera;2021;3
Formentera;Educación primaria e inferior;Total;2 Técnicos y profesionales científicos e intelectuales;Total;2022;2
Formentera;Educación primaria e inferior;Total;2 Técnicos y profesionales científicos e intelectuales;Total;2021;2
Formentera;Educación primaria e inferior;Total;2 Técnicos y profesionales científicos e intelectuales;Española;2022;2
Formentera;Educación primaria e inferior;Total;2 Técnicos y profesionales científicos e intelectuales;Española;2021;2
Formentera;Educación primaria e inferior;Total;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2022;0
Formentera;Educación primaria e inferior;Total;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2021;0
Formentera;Educación primaria e inferior;Total;3 Técnicos, profesionales de apoyo;Total;2022;8
Formentera;Educación primaria e inferior;Total;3 Técnicos, profesionales de apoyo;Total;2021;7
Formentera;Educación primaria e inferior;Total;3 Técnicos, profesionales de apoyo;Española;2022;2
Formentera;Educación primaria e inferior;Total;3 Técnicos, profesionales de apoyo;Española;2021;3
Formentera;Educación primaria e inferior;Total;3 Técnicos, profesionales de apoyo;Extranjera;2022;6
Formentera;Educación primaria e inferior;Total;3 Técnicos, profesionales de apoyo;Extranjera;2021;4
Formentera;Educación primaria e inferior;Total;4 Empleados contables, administrativos y otros empleados de oficina;Total;2022;5
Formentera;Educación primaria e inferior;Total;4 Empleados contables, administrativos y otros empleados de oficina;Total;2021;6
Formentera;Educación primaria e inferior;Total;4 Empleados contables, administrativos y otros empleados de oficina;Española;2022;1
Formentera;Educación primaria e inferior;Total;4 Empleados contables, administrativos y otros empleados de oficina;Española;2021;1
Formentera;Educación primaria e inferior;Total;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2022;4
Formentera;Educación primaria e inferior;Total;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2021;5
Formentera;Educación primaria e inferior;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2022;91
Formentera;Educación primaria e inferior;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2021;94
Formentera;Educación primaria e inferior;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2022;48
Formentera;Educación primaria e inferior;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2021;48
Formentera;Educación primaria e inferior;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2022;43
Formentera;Educación primaria e inferior;Total;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2021;46
Formentera;Educación primaria e inferior;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2022;9
Formentera;Educación primaria e inferior;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2021;10
Formentera;Educación primaria e inferior;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2022;5
Formentera;Educación primaria e inferior;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2021;5
Formentera;Educación primaria e inferior;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2022;4
Formentera;Educación primaria e inferior;Total;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2021;5
Formentera;Educación primaria e inferior;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Total;2022;55
Formentera;Educación primaria e inferior;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Total;2021;60
Formentera;Educación primaria e inferior;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Española;2022;16
Formentera;Educación primaria e inferior;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Española;2021;16
Formentera;Educación primaria e inferior;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Extranjera;2022;39
Formentera;Educación primaria e inferior;Total;7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Extranjera;2021;44
Formentera;Educación primaria e inferior;Total;8 Operadores de instalaciones y maquinaria, y montadores;Total;2022;17
Formentera;Educación primaria e inferior;Total;8 Operadores de instalaciones y maquinaria, y montadores;Total;2021;20
Formentera;Educación primaria e inferior;Total;8 Operadores de instalaciones y maquinaria, y montadores;Española;2022;11
Formentera;Educación primaria e inferior;Total;8 Operadores de instalaciones y maquinaria, y montadores;Española;2021;11
Formentera;Educación primaria e inferior;Total;8 Operadores de instalaciones y maquinaria, y montadores;Extranjera;2022;6
Formentera;Educación primaria e inferior;Total;8 Operadores de instalaciones y maquinaria, y montadores;Extranjera;2021;9
Formentera;Educación primaria e inferior;Total;9 Ocupaciones elementales;Total;2022;46
Formentera;Educación primaria e inferior;Total;9 Ocupaciones elementales;Total;2021;54
Formentera;Educación primaria e inferior;Total;9 Ocupaciones elementales;Española;2022;4
Formentera;Educación primaria e inferior;Total;9 Ocupaciones elementales;Española;2021;13
Formentera;Educación primaria e inferior;Total;9 Ocupaciones elementales;Extranjera;2022;42
Formentera;Educación primaria e inferior;Total;9 Ocupaciones elementales;Extranjera;2021;41
Formentera;Educación primaria e inferior;Total;No consta;Total;2022;39
Formentera;Educación primaria e inferior;Total;No consta;Total;2021;26
Formentera;Educación primaria e inferior;Total;No consta;Española;2022;23
Formentera;Educación primaria e inferior;Total;No consta;Española;2021;19
Formentera;Educación primaria e inferior;Total;No consta;Extranjera;2022;16
Formentera;Educación primaria e inferior;Total;No consta;Extranjera;2021;7
Formentera;Educación primaria e inferior;Hombres;Total;Total;2022;189
Formentera;Educación primaria e inferior;Hombres;Total;Total;2021;197
Formentera;Educación primaria e inferior;Hombres;Total;Española;2022;76
Formentera;Educación primaria e inferior;Hombres;Total;Española;2021;83
Formentera;Educación primaria e inferior;Hombres;Total;Extranjera;2022;113
Formentera;Educación primaria e inferior;Hombres;Total;Extranjera;2021;114
Formentera;Educación primaria e inferior;Hombres;1 Directores y gerentes;Total;2022;17
Formentera;Educación primaria e inferior;Hombres;1 Directores y gerentes;Total;2021;21
Formentera;Educación primaria e inferior;Hombres;1 Directores y gerentes;Española;2022;14
Formentera;Educación primaria e inferior;Hombres;1 Directores y gerentes;Española;2021;19
Formentera;Educación primaria e inferior;Hombres;1 Directores y gerentes;Extranjera;2022;3
Formentera;Educación primaria e inferior;Hombres;1 Directores y gerentes;Extranjera;2021;2
Formentera;Educación primaria e inferior;Hombres;2 Técnicos y profesionales científicos e intelectuales;Total;2022;1
Formentera;Educación primaria e inferior;Hombres;2 Técnicos y profesionales científicos e intelectuales;Total;2021;1
Formentera;Educación primaria e inferior;Hombres;2 Técnicos y profesionales científicos e intelectuales;Española;2022;1
Formentera;Educación primaria e inferior;Hombres;2 Técnicos y profesionales científicos e intelectuales;Española;2021;1
Formentera;Educación primaria e inferior;Hombres;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2022;0
Formentera;Educación primaria e inferior;Hombres;2 Técnicos y profesionales científicos e intelectuales;Extranjera;2021;0
Formentera;Educación primaria e inferior;Hombres;3 Técnicos, profesionales de apoyo;Total;2022;6
Formentera;Educación primaria e inferior;Hombres;3 Técnicos, profesionales de apoyo;Total;2021;5
Formentera;Educación primaria e inferior;Hombres;3 Técnicos, profesionales de apoyo;Española;2022;2
Formentera;Educación primaria e inferior;Hombres;3 Técnicos, profesionales de apoyo;Española;2021;3
Formentera;Educación primaria e inferior;Hombres;3 Técnicos, profesionales de apoyo;Extranjera;2022;4
Formentera;Educación primaria e inferior;Hombres;3 Técnicos, profesionales de apoyo;Extranjera;2021;2
Formentera;Educación primaria e inferior;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Total;2022;1
Formentera;Educación primaria e inferior;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Total;2021;3
Formentera;Educación primaria e inferior;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Española;2022;0
Formentera;Educación primaria e inferior;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Española;2021;0
Formentera;Educación primaria e inferior;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2022;1
Formentera;Educación primaria e inferior;Hombres;4 Empleados contables, administrativos y otros empleados de oficina;Extranjera;2021;3
Formentera;Educación primaria e inferior;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2022;40
Formentera;Educación primaria e inferior;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Total;2021;40
Formentera;Educación primaria e inferior;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2022;19
Formentera;Educación primaria e inferior;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Española;2021;16
Formentera;Educación primaria e inferior;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2022;21
Formentera;Educación primaria e inferior;Hombres;5 Trabajadores de los servicios de restauración, personales, protección y vendedores;Extranjera;2021;24
Formentera;Educación primaria e inferior;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2022;8
Formentera;Educación primaria e inferior;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Total;2021;9
Formentera;Educación primaria e inferior;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2022;5
Formentera;Educación primaria e inferior;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Española;2021;5
Formentera;Educación primaria e inferior;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2022;3
Formentera;Educación primaria e inferior;Hombres;6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Extranjera;2021;4
